89449	1
89451	1
89511	1
93204	1
93210	0
93230	1
93234	0
93239	0
93242	0
93245	1
93266	0
93426	0
93446	0
93450	0
93451	0
93452	0
93461	0
93513	0
93514	0
93526	0
93546	0
93602	0
93603	0
93605	2
93606	25
93608	0
93609	0
93610	0
93611	13
93612	17
93616	1
93618	2
93619	1
93620	0
93621	0
93622	0
93624	0
93625	1
93626	0
93627	0
93628	0
93630	0
93631	1
93633	0
93634	0
93635	1
93636	0
93637	1
93640	0
93641	0
93643	0
93646	1
93647	0
93648	2
93650	18
93651	0
93652	1
93653	0
93654	1
93656	0
93657	1
93660	0
93662	1
93664	0
93665	2
93667	0
93668	0
93675	0
93701	26
93702	29
93703	21
93704	15
93705	23
93706	1
93710	14
93711	10
93720	14
93721	10
93722	12
93723	1
93725	1
93726	19
93727	7
93728	16
93730	4
93901	6
93905	20
93906	14
93907	2
93908	0
93920	0
93921	11
93923	0
93924	0
93925	0
93926	1
93927	0
93928	0
93930	0
93932	0
93933	6
93940	5
93943	0
93950	16
93953	2
93954	0
93955	4
93960	1
93962	17
94002	210
94005	45
94010	157
94014	341
94015	484
94019	16
94020	1
94020	0
94021	2
94022	16
94024	46
94025	158
94027	62
94028	20
94030	291
94037	23
94038	88
94040	136
94041	132
94043	40
94044	116
94060	1
94060	0
94061	430
94062	17
94063	208
94065	213
94066	307
94070	217
94074	1
94080	285
94085	92
94086	154
94087	125
94089	49
94102	2898
94103	1249
94104	326
94105	987
94107	926
94108	3179
94109	2939
94110	1859
94111	673
94112	1472
94114	1362
94115	1845
94116	1054
94117	1447
94118	1226
94121	834
94122	1478
94123	1411
94124	430
94127	679
94128	1
94129	86
94130	199
94131	806
94132	564
94133	2167
94134	1060
94158	
94301	109
94303	261
94304	8
94305	41
94306	96
94401	501
94402	226
94403	322
94404	363
94501	65
94502	43
94503	589
94505	
94505	2
94506	16
94507	15
94508	81
94509	49
94509	12
94510	87
94511	5
94512	0
94513	9
94513	2
94514	1
94514	0
94515	26
94516	3
94517	3
94518	64
94519	55
94520	48
94521	41
94523	60
94525	17
94526	27
94528	5
94530	64
94531	48
94533	289
94534	
94535	90
94536	40
94538	32
94539	17
94541	71
94542	19
94544	57
94545	12
94546	38
94547	57
94548	2
94549	18
94550	2
94550	1
94551	4
94552	3
94553	12
94555	25
94556	16
94558	73
94558	1
94559	288
94560	26
94561	28
94561	6
94563	13
94564	42
94565	36
94565	9
94566	18
94567	2
94567	0
94568	26
94569	1
94571	6
94571	0
94572	26
94573	37
94574	27
94575	76
94576	172
94577	48
94578	75
94579	56
94580	67
94582	
94583	30
94585	23
94585	1
94586	0
94587	30
94588	8
94589	235
94590	536
94591	221
94592	16
94595	40
94596	44
94597	67
94598	22
94599	400
94601	132
94602	73
94603	82
94605	37
94606	137
94607	36
94608	88
94609	103
94610	115
94611	30
94612	145
94613	24
94618	57
94619	13
94621	33
94702	107
94703	127
94704	205
94705	33
94706	114
94707	59
94708	28
94709	172
94710	28
94720	41
94801	34
94803	28
94804	81
94805	89
94806	93
94850	0
94901	145
94903	67
94904	77
94920	88
94922	0
94923	0
94924	3
94925	135
94928	3
94929	12
94930	25
94931	1
94933	37
94937	1
94938	4
94939	149
94940	1
94941	64
94945	31
94946	1
94947	50
94949	53
94950	0
94951	0
94952	0
94954	0
94956	1
94957	54
94960	123
94963	10
94964	605
94965	37
94970	5
94971	1
94972	0
94973	17
95002	3
95003	
95003	2
95004	
95004	1
95005	
95005	2
95006	
95006	1
95007	
95007	4
95008	107
95010	
95010	21
95012	2
95013	1
95014	34
95017	
95017	0
95018	
95018	2
95019	
95019	20
95020	6
95020	1
95023	
95023	0
95030	19
95032	24
95033	2
95033	0
95035	44
95037	3
95037	1
95039	
95039	0
95041	
95041	12
95043	0
95045	
95045	0
95046	5
95050	103
95051	124
95053	196
95054	57
95060	
95060	2
95062	
95062	22
95064	
95064	12
95065	
95065	2
95066	
95066	2
95070	18
95070	4
95073	
95073	2
95075	0
95076	
95076	2
95110	61
95111	164
95112	120
95113	40
95116	218
95117	177
95118	117
95119	53
95120	14
95121	128
95122	180
95123	113
95124	109
95125	98
95126	143
95127	71
95128	135
95129	130
95130	135
95131	74
95132	12
95133	121
95134	24
95135	10
95136	138
95138	11
95139	83
95140	0
95140	0
95148	73
95202	18
95203	8
95204	17
95205	13
95206	
95206	2
95207	21
95209	14
95210	18
95211	31
95212	4
95215	1
95219	
95219	2
95220	0
95227	0
95228	0
95230	0
95231	2
95234	
95234	0
95236	0
95237	2
95240	2
95242	1
95252	0
95254	0
95258	4
95301	2
95303	0
95304	
95304	0
95306	0
95307	4
95312	1
95313	0
95315	2
95316	0
95317	0
95319	9
95320	1
95322	0
95323	0
95324	1
95325	0
95326	1
95328	12
95329	0
95330	2
95333	0
95334	1
95336	3
95337	2
95338	0
95340	2
95341	1
95348	2
95350	18
95351	16
95354	10
95355	19
95356	5
95357	1
95358	1
95360	
95360	0
95361	1
95363	
95363	1
95365	1
95366	2
95367	16
95368	13
95369	0
95374	0
95376	20
95377	
95377	1
95380	2
95382	10
95385	0
95386	0
95387	
95387	0
95388	1
95391	
95391	2
95401	1
95403	1
95404	0
95405	2
95407	1
95409	0
95410	0
95412	0
95412	0
95415	0
95417	0
95420	1
95421	0
95421	0
95425	0
95425	0
95426	
95427	0
95428	0
95429	0
95430	0
95431	5
95432	0
95436	0
95437	1
95439	0
95441	0
95442	0
95444	2
95445	
95445	0
95446	0
95448	0
95449	
95449	0
95450	0
95451	
95451	0
95452	0
95453	1
95454	0
95456	0
95457	
95457	0
95459	0
95460	0
95461	
95462	0
95463	0
95465	0
95466	0
95468	0
95469	0
95470	0
95471	0
95472	0
95476	0
95482	0
95485	0
95486	2
95488	0
95490	0
95492	1
95494	
95494	0
95497	0
95497	0
95501	10
95503	1
95511	0
95514	0
95519	1
95521	1
95524	1
95525	0
95526	0
95527	0
95528	0
95536	0
95537	5
95540	2
95542	0
95545	0
95546	0
95547	1
95548	0
95549	0
95550	0
95551	0
95552	0
95553	0
95554	0
95555	0
95556	0
95558	0
95559	0
95560	0
95562	1
95563	0
95564	1
95565	0
95568	0
95569	0
95570	0
95571	1
95573	0
95585	0
95587	0
95589	0
95595	0
95602	1
95603	2
95604	1
95605	11
95606	
95606	0
95607	
95607	0
95608	14
95610	18
95612	
95612	0
95614	0
95615	
95615	0
95616	
95616	6
95618	
95618	2
95619	2
95620	8
95620	0
95621	18
95623	0
95624	4
95625	12
95626	1
95627	0
95628	10
95629	0
95630	8
95631	0
95632	1
95633	0
95634	0
95635	0
95636	0
95637	
95637	0
95638	0
95639	0
95640	0
95641	
95641	0
95645	0
95646	0
95648	1
95650	2
95651	0
95652	1
95653	0
95655	2
95658	1
95659	0
95660	15
95661	10
95662	9
95663	1
95664	0
95666	0
95667	1
95668	0
95669	0
95670	13
95672	1
95673	3
95674	0
95675	2
95677	8
95678	12
