33503	53689
33510	35352
33511	32745
33513	118171
33514	116385
33521	121877
33523	80842
33525	71785
33527	43206
33534	33250
33538	140100
33540	63305
33541	61204
33542	56951
33543	51426
33544	49617
33545	49378
33547	58631
33548	33173
33549	36773
33556	29740
33558	32248
33559	42157
33563	48407
33565	51257
33566	55506
33567	55309
33569	42282
33570	63572
33572	41490
33573	55471
33576	59509
33578	36523
33579	50627
33584	30552
33585	117897
33592	35644
33594	37914
33596	39855
33597	103285
33598	66265
33602	11700
33603	14168
33604	18115
33605	17703
33606	16153
33607	9763
33609	5728
33610	22092
33611	12315
33612	23055
33613	26740
33614	9779
33615	10622
33616	14582
33617	27394
33618	21207
33619	24557
33620	25341
33621	14447
33624	21921
33625	17300
33626	21954
33629	8894
33634	9244
33635	15613
33637	29213
33647	44310
33701	33664
33702	22268
33703	27133
33704	31130
33705	36701
33706	47643
33707	40560
33708	38288
33709	31650
33710	35736
33711	37559
33712	37033
33713	30882
33714	27457
33715	37209
33716	19284
33744	37927
33755	29031
33756	30102
33759	21950
33760	24945
33761	27339
33762	20535
33763	28709
33764	27036
33765	25337
33767	32318
33770	37278
33771	156836
33772	253153
33773	156978
33774	202038
33776	164057
33777	94613
33778	93324
33781	79306
33782	72236
33785	77018
33786	73374
33801	98148
33803	93597
33805	49689
33809	124430
33810	136395
33811	130219
33812	133225
33813	72446
33815	61698
33823	89701
33825	148648
33827	122010
33830	84837
33834	115168
33837	116251
33838	103965
33839	90017
33841	107869
33843	134201
33844	108794
33847	93399
33849	74984
33850	95440
33851	114147
33852	200106
33853	111025
33854	130597
33855	144106
33856	130704
33859	112649
33860	92093
33865	139991
33867	221657
33868	90772
33872	158367
33873	129646
33875	175287
33877	105134
33880	85032
33881	97706
33884	98132
33890	163462
33896	110841
33897	107635
33898	134616
32159	151788
32162	140276
33953	148360
33954	156237
33960	223122
33981	157118
33982	193413
33983	164051
34201	94575
34202	93334
34203	79443
34205	72336
34207	77021
34208	69794
34209	81446
34210	82113
34211	90446
34212	85504
34215	85278
34216	37209
34217	84199
34219	90524
34221	61782
34222	72534
34223	140367
34224	150351
34228	98186
34229	122704
34231	109456
34232	100148
34233	105421
34234	86957
34235	94101
34236	93292
34237	102315
34238	108466
34239	105664
34240	106714
34241	110684
34242	112977
34243	83241
34251	114939
34266	153701
34268	157392
34269	169681
34275	123269
34285	123850
34286	149667
34287	141132
34288	156082
34289	141281
34291	148792
34292	126998
34293	141281
34428	128008
34429	125898
34431	159237
34432	169035
34433	136454
34434	142533
34436	105563
34442	139557
34445	137809
34446	99690
34448	113750
34449	148854
34450	120769
34452	125461
34453	133227
34461	124353
34465	133143
34473	149115
34484	137433
34491	142101
34498	140863
34601	86837
34602	77813
34604	70021
34606	72108
34607	75781
34608	67650
34609	70803
34610	62956
34613	89909
34614	91493
34637	50334
34638	54674
34639	51951
34652	56125
34653	53013
34654	60573
34655	27248
34661	93458
34667	65330
34668	66967
34669	56970
34677	19893
34679	71221
34681	34804
34683	32040
34684	27441
34685	29446
34688	34544
34689	42977
34690	43851
34691	48371
34695	25531
34698	32111
34714	117457
34731	144952
34736	122784
34739	198919
34747	116663
34748	138380
34758	117199
34759	126421
34762	141631
34785	133398
33868	90662
33597	103175
33897	107525
33844	108684
33896	110730
33837	116141
33514	116275
34747	116552
34758	117089
34714	117346
34753	121009
33848	121502
32830	122451
34736	122674
32836	125650
34759	126311
34746	126577
32821	127078
34428	127852
34711	128136
32837	129821
32819	131663
34741	132319
34785	133288
33843	134090
33867	134506
33898	134506
34787	135443
34433	136299
34484	137323
34748	138270
32811	139354
34442	139401
34743	139785
32839	139859
33538	139990
32162	140166
34223	140257
32835	140522
34498	140707
32809	140748
34287	141022
34293	141170
34762	141521
34491	141991
34434	142378
34797	142381
32824	142970
32805	143909
34786	144148
34737	144766
32806	145427
32801	146353
33890	146489
32812	147612
34286	147762
34705	148011
33953	148250
33825	148537
34731	148615
34734	148626
32639	148699
34449	148699
34761	148876
34473	149004
34715	149204
34224	149590
32808	149752
32803	150315
34744	151280
32804	151637
32159	151677
32822	151725
34760	152206
32778	152709
34266	153590
32827	153725
32814	153823
34476	154275
32818	154806
32789	155029
34288	155972
32807	155994
33954	156126
33981	157007
33872	158257
33875	158314
33948	158550
32829	158580
32832	158608
34480	159001
32133	159031
34431	159081
32751	159412
34788	159469
32195	159662
34420	159877
34756	160400
34769	160510
32735	160583
32792	160792
33947	160862
33946	161099
32701	161223
34474	161284
32714	161351
32810	161620
32703	161736
34772	162783
32730	162812
32825	163513
32831	163658
33983	163940
32817	165408
34471	165653
32798	165716
32707	166023
32726	166260
34472	166383
33870	166820
33952	167120
32779	167643
32828	168339
32668	168568
33980	168765
32179	169364
34432	169421
32750	169524
34269	169571
34481	169982
32826	172063
34470	172228
32746	172692
32833	173519
32712	173554
33921	173634
32757	174754
32820	175204
33950	176305
34475	176439
34479	176713
34771	177241
34482	177464
32765	177860
32784	178080
32776	178973
32771	179538
33876	179765
32683	179990
32708	180866
32702	184737
